geocode;UF;name_muni;hierarquia
3523404;SP;Itatiba;Centro Sub-Regional B
1501303;PA;Barcarena;Centro Sub-Regional B
3306008;RJ;Arranjo Populacional de Tr�s Rios - Para�ba do Sul/RJ;Centro Sub-Regional B
4321204;RS;Arranjo Populacional de Taquara - Parob� - Igrejinha/RS;Centro Sub-Regional B
3200607;ES;Aracruz;Centro Sub-Regional B
1508100;PA;Tucuru�;Centro Sub-Regional B
3550605;SP;Arranjo Populacional de S�o Roque - Mairinque/SP;Centro Sub-Regional B
3506508;SP;Arranjo Populacional de Birigui/SP;Centro Sub-Regional B
3527108;SP;Lins;Centro Sub-Regional B
5211909;GO;Jata�;Centro Sub-Regional B
2919553;BA;Lu�s Eduardo Magalh�es;Centro Sub-Regional B
3103504;MG;Araguari;Centro Sub-Regional B
3529302;SP;Arranjo Populacional de Mat�o/SP;Centro Sub-Regional B
5105259;MT;Lucas do Rio Verde;Centro Sub-Regional B
3554003;SP;Tatu�;Centro Sub-Regional B
3557105;SP;Arranjo Populacional de Votuporanga/SP;Centro Sub-Regional B
4215802;SC;Arranjo Populacional de S�o Bento do Sul - Rio Negrinho/SC;Centro Sub-Regional B
3501905;SP;Arranjo Populacional de Amparo/SP;Centro Sub-Regional B
5107040;MT;Primavera do Leste;Centro Sub-Regional B
3131703;MG;Itabira;Centro Sub-Regional B
3511508;SP;Arranjo Populacional de Cerquilho - Tiet�/SP;Centro Sub-Regional B
3522604;SP;Itapira;Centro Sub-Regional B
4127106;PR;Tel�maco Borba;Centro Sub-Regional B
3133808;MG;Arranjo Populacional de Ita�na/MG;Centro Sub-Regional B
2616407;PE;Vit�ria de Santo Ant�o;Centro Sub-Regional B
3506102;SP;Bebedouro;Centro Sub-Regional B
3147006;MG;Paracatu;Centro Sub-Regional B
3170404;MG;Una�;Centro Sub-Regional B
3502101;SP;Andradina;Centro Sub-Regional B
3526704;SP;Arranjo Populacional de Leme/SP;Centro Sub-Regional B
4208302;SC;Arranjo Populacional de Itapema/SC;Centro Sub-Regional B
4312401;RS;Montenegro;Centro Sub-Regional B
5106224;MT;Nova Mutum;Centro Sub-Regional B
4204301;SC;Conc�rdia;Centro Sub-Regional B
4322608;RS;Arranjo Populacional de Ven�ncio Aires/RS;Centro Sub-Regional B
5003207;MS;Arranjo Populacional Internacional de Corumb�/Brasil;Centro Sub-Regional B
3146107;MG;Ouro Preto;Centro Sub-Regional B
3300209;RJ;Arranjo Populacional de Araruama/RJ;Centro Sub-Regional B
3134202;MG;Ituiutaba;Centro Sub-Regional B
3132404;MG;Arranjo Populacional de Itajub�/MG;Centro Sub-Regional B
4304408;RS;Arranjo Populacional de Canela - Gramado/RS;Centro Sub-Regional B
3524303;SP;Jaboticabal;Centro Sub-Regional B
1505502;PA;Paragominas;Centro Sub-Regional B
5006606;MS;Ponta Por�;Centro Sub-Regional B
3148103;MG;Patroc�nio;Centro Sub-Regional B
4104907;PR;Castro;Centro Sub-Regional B
5204508;GO;Arranjo Populacional de Caldas Novas/GO;Centro Sub-Regional B
3504503;SP;Avar�;Centro Sub-Regional B
3147105;MG;Par� de Minas;Centro Sub-Regional B
3136207;MG;Arranjo Populacional de Jo�o Monlevade/MG;Centro Sub-Regional B
3539301;SP;Pirassununga;Centro Sub-Regional B
4210100;SC;Arranjo Populacional de Mafra/SC - Rio Negro/PR;Centro Sub-Regional B
4122404;PR;Rol�ndia;Centro Sub-Regional B
3526803;SP;Len��is Paulista;Centro Sub-Regional B
2101400;MA;Balsas;Centro Sub-Regional B
4203808;SC;Arranjo Populacional de Canoinhas/SC;Centro Sub-Regional B
4303004;RS;Cachoeira do Sul;Centro Sub-Regional B
4317103;RS;Sant'Ana do Livramento;Centro Sub-Regional B
3169307;MG;Tr�s Cora��es;Centro Sub-Regional B
5103502;MT;Diamantino;Centro Sub-Regional B
3555000;SP;Arranjo Populacional de Tup�/SP;Centro Sub-Regional B
4322509;RS;Vacaria;Centro Sub-Regional B
3145208;MG;Arranjo Populacional de Nova Serrana/MG;Centro Sub-Regional B
3151206;MG;Arranjo Populacional de Pirapora - Buritizeiro/MG;Centro Sub-Regional B
5208608;GO;Arranjo Populacional de Goian�sia/GO;Centro Sub-Regional B
5208004;GO;Formosa;Centro Sub-Regional B
3513405;SP;Arranjo Populacional de Cruzeiro/SP;Centro Sub-Regional B
4114609;PR;Marechal C�ndido Rondon;Centro Sub-Regional B
3202405;ES;Guarapari;Centro Sub-Regional B
1301902;AM;Itacoatiara;Centro Sub-Regional B
2100055;MA;A�ail�ndia;Centro Sub-Regional B
3134400;MG;Iturama;Centro Sub-Regional B
4304630;RS;Arranjo Populacional de Cap�o da Canoa/RS;Centro Sub-Regional B
3546405;SP;Santa Cruz do Rio Pardo;Centro Sub-Regional B
3510401;SP;Arranjo Populacional de Capivari/SP;Centro Sub-Regional B
3533908;SP;Ol�mpia;Centro Sub-Regional B
4300406;RS;Alegrete;Centro Sub-Regional B
3128709;MG;Guaxup�;Centro Sub-Regional B
4207304;SC;Arranjo Populacional de Imbituba/SC;Centro Sub-Regional B
4303509;RS;Camaqu�;Centro Sub-Regional B
5006200;MS;Nova Andradina;Centro Sub-Regional B
3542602;SP;Registro;Centro Sub-Regional B
4311809;RS;Marau;Centro Sub-Regional B
3500105;SP;Arranjo Populacional de Adamantina - Luc�lia/SP;Centro Sub-Regional B
3540705;SP;Porto Ferreira;Centro Sub-Regional B
4318309;RS;Arranjo Populacional de S�o Gabriel/RS;Centro Sub-Regional B
5102504;MT;C�ceres;Centro Sub-Regional B
4218202;SC;Timb�;Centro Sub-Regional B
3549706;SP;S�o Jos� do Rio Pardo;Centro Sub-Regional B
3537305;SP;Pen�polis;Centro Sub-Regional B
4318002;RS;S�o Borja;Centro Sub-Regional B
4115804;PR;Medianeira;Centro Sub-Regional B
3159605;MG;Santa Rita do Sapuca�;Centro Sub-Regional B
3164704;MG;S�o Sebasti�o do Para�so;Centro Sub-Regional B
3127107;MG;Frutal;Centro Sub-Regional B
1503606;PA;Itaituba;Centro Sub-Regional B
3534302;SP;Orl�ndia;Centro Sub-Regional B
5100250;MT;Alta Floresta;Centro Sub-Regional B
4110706;PR;Irati;Centro Sub-Regional B
3171303;MG;Arranjo Populacional de Vi�osa/MG;Centro Sub-Regional B
2601706;PE;Belo Jardim;Centro Sub-Regional B
3304300;RJ;Rio Bonito;Centro Sub-Regional B
3304706;RJ;Arranjo Populacional de Santo Ant�nio de P�dua/RJ;Centro Sub-Regional B
3152105;MG;Arranjo Populacional de Ponte Nova/MG;Centro Sub-Regional B
4219507;SC;Xanxer�;Centro Sub-Regional B
3113404;MG;Caratinga;Centro Sub-Regional B
5005707;MS;Navira�;Centro Sub-Regional B
1718204;TO;Porto Nacional;Centro Sub-Regional B
2802106;SE;Est�ncia;Centro Sub-Regional B
3115300;MG;Cataguases;Centro Sub-Regional B
3126109;MG;Formiga;Centro Sub-Regional B
4107207;PR;Dois Vizinhos;Centro Sub-Regional B
3549409;SP;S�o Joaquim da Barra;Centro Sub-Regional B
3120904;MG;Arranjo Populacional de Curvelo/MG;Centro Sub-Regional B
4106407;PR;Corn�lio Proc�pio;Centro Sub-Regional B
2932903;BA;Valen�a;Centro Sub-Regional B
3524808;SP;Arranjo Populacional de Jales/SP;Centro Sub-Regional B
2803500;SE;Lagarto;Centro Sub-Regional B
2904605;BA;Brumado;Centro Sub-Regional B
3553708;SP;Taquaritinga;Centro Sub-Regional B
3519600;SP;Ibitinga;Centro Sub-Regional B
4313706;RS;Palmeira das Miss�es;Centro Sub-Regional B
2306405;CE;Itapipoca;Centro Sub-Regional B
1100114;RO;Jaru;Centro Sub-Regional B
4322806;RS;Arranjo Populacional de Veran�polis/RS;Centro Sub-Regional B
2612505;PE;Santa Cruz do Capibaribe;Centro Sub-Regional B
5001102;MS;Arranjo Populacional de Aquidauana - Anast�cio/MS;Centro Sub-Regional B
2604007;PE;Carpina;Centro Sub-Regional B
2917508;BA;Jacobina;Centro Sub-Regional B
1500107;PA;Abaetetuba;Centro Sub-Regional B
5213806;GO;Morrinhos;Centro Sub-Regional B
1302504;AM;Manacapuru;Centro Sub-Regional B
1716109;TO;Para�so do Tocantins;Centro Sub-Regional B
4204806;SC;Curitibanos;Centro Sub-Regional B
2301109;CE;Aracati;Centro Sub-Regional B
1100288;RO;Rolim de Moura;Centro Sub-Regional B
5106752;MT;Pontes e Lacerda;Centro Sub-Regional B
4317400;RS;Santiago;Centro Sub-Regional B
5006309;MS;Parana�ba;Centro Sub-Regional B
4321501;RS;Arranjo Populacional de Torres/RS;Centro Sub-Regional B
1508407;PA;Xinguara;Centro Sub-Regional B
3107406;MG;Bom Despacho;Centro Sub-Regional B
4111803;PR;Jacarezinho;Centro Sub-Regional B
3135100;MG;Arranjo Populacional de Jana�ba/MG;Centro Sub-Regional B
4311304;RS;Arranjo Populacional de Lagoa Vermelha/RS;Centro Sub-Regional B
4318903;RS;S�o Luiz Gonzaga;Centro Sub-Regional B
3514403;SP;Dracena;Centro Sub-Regional B
