MUNIC_RES,ANO,POPULACAO
RN,1992,7445
RN,1992,15559
RN,1992,3621
RN,1992,4422
RN,1992,7440
RN,1992,8182
RN,1992,2611
RN,1992,51651
RN,1992,9359
RN,1992,23344
RN,1992,20349
RN,1992,5629
RN,1992,10524
RN,1992,52956
RN,1992,10605
RN,1992,5896
RN,1992,4766
RN,1992,7953
RN,1992,40577
RN,1992,6508
RN,1992,4770
RN,1992,5516
RN,1992,10271
RN,1992,6170
RN,1992,12479
RN,1992,3240
RN,1992,4663
RN,1992,1268
RN,1992,17818
RN,1992,10557
RN,1992,9384
RN,1992,6234
RN,1992,9080
RN,1992,16335
RN,1992,1708
RN,1992,4992
RN,1992,6983
RN,1992,5560
RN,1992,6018
RN,1992,6639
RN,1992,6099
RN,1992,2418
RN,1992,10062
RN,1992,11944
RN,1992,26086
RN,1992,2631
RN,1992,5518
RN,1992,14750
RN,1992,5124
RN,1992,5074
RN,1992,1955
RN,1992,11051
RN,1992,6200
RN,1992,8729
RN,1992,4495
RN,1992,2995
RN,1992,11390
RN,1992,26129
RN,1992,8865
RN,1992,12278
RN,1992,13634
RN,1992,3414
RN,1992,9625
RN,1992,16002
RN,1992,2776
RN,1992,195997
RN,1992,619241
RN,1992,30302
RN,1992,4566
RN,1992,4544
RN,1992,3572
RN,1992,4026
RN,1992,3994
RN,1992,17726
RN,1992,6598
RN,1992,2458
RN,1992,11701
RN,1992,21059
RN,1992,3496
RN,1992,2690
RN,1992,11575
RN,1992,12869
RN,1992,11114
RN,1992,2169
RN,1992,10553
RN,1992,6387
RN,1992,6059
RN,1992,6837
RN,1992,3384
RN,1992,2953
RN,1992,2562
RN,1992,3990
RN,1992,5802
RN,1992,5286
RN,1992,3278
RN,1992,29248
RN,1992,17131
RN,1992,2511
RN,1992,19293
RN,1992,3212
RN,1992,3517
RN,1992,2824
RN,1992,5540
RN,1992,28686
RN,1992,11791
RN,1992,3192
RN,1992,21455
RN,1992,14655
RN,1992,7002
RN,1992,7872
RN,1992,11471
RN,1992,4984
RN,1992,4329
RN,1992,2707
RN,1992,6281
RN,1992,8165
RN,1992,7486
RN,1992,10552
RN,1992,4591
RN,1992,2090
RN,1992,10529
RN,1992,10320
RN,1992,9496
RN,1992,6030
RN,1992,1967
RN,1992,27569
RN,1992,11046
RN,1992,8722
RN,1992,8677
RN,1992,8115
RN,1992,1324
RN,1992,2320
PB,1992,8244
PB,1992,7209
PB,1992,30103
PB,1992,22442
PB,1992,11012
PB,1992,13476
PB,1992,21578
PB,1992,18353
PB,1992,9795
PB,1992,17813
PB,1992,28172
PB,1992,6136
PB,1992,28957
PB,1992,5447
PB,1992,17107
PB,1992,5167
PB,1992,15854
PB,1992,8084
PB,1992,6001
PB,1992,1763
PB,1992,6234
PB,1992,9145
PB,1992,33416
PB,1992,5745
PB,1992,4133
PB,1992,13871
PB,1992,6190
PB,1992,15221
PB,1992,6186
PB,1992,7261
PB,1992,2908
PB,1992,17770
PB,1992,10481
PB,1992,51530
PB,1992,4527
PB,1992,5567
PB,1992,331287
PB,1992,1901
PB,1992,5140
PB,1992,25207
PB,1992,23335
PB,1992,7354
PB,1992,4321
PB,1992,14556
PB,1992,12550
PB,1992,6278
PB,1992,23168
PB,1992,7061
PB,1992,2540
PB,1992,12835
PB,1992,3101
PB,1992,7437
PB,1992,9831
PB,1992,7291
PB,1992,3144
PB,1992,27970
PB,1992,13263
PB,1992,2680
PB,1992,49316
PB,1992,13130
PB,1992,6103
PB,1992,6569
PB,1992,10227
PB,1992,21833
PB,1992,26443
PB,1992,19921
PB,1992,13485
PB,1992,9141
PB,1992,18344
PB,1992,9563
PB,1992,508382
PB,1992,7292
PB,1992,17595
PB,1992,5859
PB,1992,10565
PB,1992,5694
PB,1992,7258
PB,1992,3293
PB,1992,7105
PB,1992,4666
PB,1992,6018
PB,1992,50589
PB,1992,11432
PB,1992,20993
PB,1992,5069
PB,1992,13306
PB,1992,3897
PB,1992,4073
PB,1992,27067
PB,1992,10858
PB,1992,11648
PB,1992,7368
PB,1992,6264
PB,1992,3337
PB,1992,9098
PB,1992,3353
PB,1992,2792
PB,1992,3406
PB,1992,82412
PB,1992,11079
PB,1992,3623
PB,1992,6711
PB,1992,16109
PB,1992,18922
PB,1992,13844
PB,1992,7907
PB,1992,10648
PB,1992,9611
PB,1992,14477
PB,1992,39492
PB,1992,3282
PB,1992,22493
PB,1992,17239
PB,1992,9395
PB,1992,2679
PB,1992,12521
PB,1992,7362
PB,1992,6159
PB,1992,13108
PB,1992,6522
PB,1992,8010
PB,1992,4864
PB,1992,21880
PB,1992,7519
PB,1992,4102
PB,1992,7583
PB,1992,5268
PB,1992,5930
PB,1992,17618
PB,1992,2776
PB,1992,3956
PB,1992,6137
PB,1992,8461
PB,1992,4212
PB,1992,8876
PB,1992,4441
PB,1992,59348
PB,1992,7959
PB,1992,13510
PB,1992,2602
PB,1992,7294
PB,1992,9510
PB,1992,32918
PB,1992,11337
PB,1992,79549
PB,1992,17256
PB,1992,10322
PB,1992,15213
PB,1992,14414
PB,1992,17645
PB,1992,10660
PB,1992,20122
PB,1992,17387
PB,1992,2185
PE,1992,30019
PE,1992,13397
PE,1992,18097
PE,1992,25865
PE,1992,38520
PE,1992,11104
PE,1992,37370
PE,1992,23074
PE,1992,20001
PE,1992,8686
PE,1992,61684
PE,1992,56771
PE,1992,10563
PE,1992,41187
PE,1992,12305
PE,1992,22909
PE,1992,61628
PE,1992,11141
PE,1992,52293
PE,1992,28735
PE,1992,41110
PE,1992,36875
PE,1992,35187
PE,1992,8668
PE,1992,7441
PE,1992,31440
PE,1992,12492
PE,1992,38255
PE,1992,24146
PE,1992,16086
PE,1992,20912
PE,1992,9498
PE,1992,6972
PE,1992,14044
PE,1992,24499
PE,1992,18553
PE,1992,11185
PE,1992,55278
PE,1992,216289
PE,1992,31767
PE,1992,9143
PE,1992,10975
PE,1992,15553
PE,1992,18571
PE,1992,16116
PE,1992,12486
PE,1992,17894
PE,1992,22134
PE,1992,28970
PE,1992,13325
PE,1992,56044
PE,1992,31834
PE,1992,18842
PE,1992,1712
PE,1992,10955
PE,1992,21751
PE,1992,21176
PE,1992,14136
PE,1992,19804
PE,1992,104445
PE,1992,26716
PE,1992,64543
PE,1992,5989
PE,1992,62575
PE,1992,18589
PE,1992,28511
PE,1992,7497
PE,1992,11152
PE,1992,23497
PE,1992,4405
PE,1992,21384
PE,1992,3219
PE,1992,27066
PE,1992,34866
PE,1992,15560
PE,1992,14256
PE,1992,14496
PE,1992,27644
PE,1992,15635
PE,1992,8138
PE,1992,11884
PE,1992,12686
PE,1992,11155
PE,1992,16750
PE,1992,11313
PE,1992,16664
PE,1992,29940
PE,1992,54704
PE,1992,20980
PE,1992,9052
PE,1992,21475
PE,1992,12954
PE,1992,26603
PE,1992,20893
PE,1992,10933
PE,1992,63607
PE,1992,57208
PE,1992,8263
PE,1992,27359
PE,1992,11349
PE,1992,19032
PE,1992,29329
PE,1992,19463
PE,1992,57891
PE,1992,33513
PE,1992,166893
PE,1992,9610
PE,1992,21302
PE,1992,11012
PE,1992,21183
PE,1992,1303389
PE,1992,17998
PE,1992,41237
PE,1992,34232
PE,1992,11057
PE,1992,5943
PE,1992,47560
PE,1992,14747
PE,1992,15066
PE,1992,10462
PE,1992,12099
PE,1992,38976
PE,1992,42766
PE,1992,11509
PE,1992,9783
PE,1992,9827
PE,1992,42553
PE,1992,30010
PE,1992,18964
PE,1992,17198
PE,1992,31096
PE,1992,28916
PE,1992,14270
PE,1992,72559
PE,1992,19051
PE,1992,31408
PE,1992,33446
PE,1992,11824
PE,1992,5745
PE,1992,59495
PE,1992,22892
PE,1992,11852
PE,1992,17617
PE,1992,17183
PE,1992,6748
PE,1992,6773
PE,1992,57469
PE,1992,15117
PE,1992,11964
PE,1992,19098
PE,1992,15627
PE,1992,19236
PE,1992,7219
PE,1992,12242
PE,1992,8161
PE,1992,8645
PE,1992,14103
PE,1992,28053
PE,1992,107552
PE,1992,10654
AL,1992,18249
AL,1992,16426
AL,1992,168086
AL,1992,38431
AL,1992,5064
AL,1992,13186
AL,1992,5866
AL,1992,7159
AL,1992,22441
AL,1992,8229
AL,1992,11662
AL,1992,18971
AL,1992,37590
AL,1992,10095
AL,1992,18563
AL,1992,18811
AL,1992,5719
AL,1992,8129
AL,1992,9853
AL,1992,16806
AL,1992,50339
AL,1992,18118
AL,1992,42161
AL,1992,10126
AL,1992,15767
AL,1992,19173
AL,1992,3484
AL,1992,12041
AL,1992,28170
AL,1992,15933
AL,1992,26267
AL,1992,19896
AL,1992,14978
AL,1992,4806
AL,1992,7397
AL,1992,7270
AL,1992,4483
AL,1992,24751
AL,1992,15443
AL,1992,22495
AL,1992,16078
AL,1992,19515
AL,1992,643392
AL,1992,17415
AL,1992,16497
AL,1992,11329
AL,1992,14889
AL,1992,3936
AL,1992,26594
AL,1992,21389
AL,1992,7508
AL,1992,6161
AL,1992,28907
AL,1992,14492
AL,1992,15742
AL,1992,6546
AL,1992,4371
AL,1992,10168
AL,1992,9386
AL,1992,3738
AL,1992,66526
AL,1992,21780
AL,1992,8444
AL,1992,14253
AL,1992,7057
AL,1992,53392
AL,1992,17361
AL,1992,29581
AL,1992,3716
AL,1992,14835
AL,1992,11548
AL,1992,22855
AL,1992,9662
AL,1992,17752
AL,1992,11355
AL,1992,7638
AL,1992,36289
AL,1992,11924
AL,1992,6265
AL,1992,22022
AL,1992,27549
AL,1992,31615
AL,1992,51190
AL,1992,4902
AL,1992,24939
AL,1992,9526
AL,1992,7712
AL,1992,16912
AL,1992,30334
AL,1992,22873
AL,1992,57813
AL,1992,23482
SE,1992,1916
SE,1992,16380
SE,1992,408859
SE,1992,10558
SE,1992,10767
SE,1992,23285
SE,1992,6677
SE,1992,13579
SE,1992,3841
SE,1992,11729
SE,1992,25153
SE,1992,15392
SE,1992,5134
SE,1992,11151
SE,1992,3305
SE,1992,55744
SE,1992,4402
SE,1992,10370
SE,1992,10425
SE,1992,5144
SE,1992,7097
SE,1992,11926
SE,1992,65526
SE,1992,31163
SE,1992,4839
SE,1992,20523
SE,1992,13147
SE,1992,10734
SE,1992,73239
SE,1992,5015
SE,1992,2554
SE,1992,10113
SE,1992,9462
SE,1992,9642
SE,1992,6746
SE,1992,8446
SE,1992,23698
SE,1992,19740
SE,1992,4698
SE,1992,11584
SE,1992,2171
SE,1992,7443
SE,1992,4495
SE,1992,4816
SE,1992,20413
SE,1992,17874
SE,1992,23530
SE,1992,25460
SE,1992,16953
SE,1992,14124
SE,1992,17073
SE,1992,9998
SE,1992,5934
SE,1992,3383
SE,1992,10889
SE,1992,7845
SE,1992,2224
SE,1992,3158
SE,1992,32633
SE,1992,38043
SE,1992,11842
SE,1992,14910
BA,1992,8557
BA,1992,11590
BA,1992,12993
BA,1992,14015
BA,1992,14254
BA,1992,11039
BA,1992,6571
BA,1992,118077
BA,1992,15821
BA,1992,10076
BA,1992,28195
BA,1992,23071
BA,1992,16122
BA,1992,42049
BA,1992,14448
BA,1992,17509
BA,1992,16364
BA,1992,7864
BA,1992,17445
BA,1992,11254
BA,1992,14430
BA,1992,15901
BA,1992,8410
BA,1992,15557
BA,1992,9152
BA,1992,46397
BA,1992,7552
BA,1992,13441
BA,1992,7701
BA,1992,14119
BA,1992,21753
BA,1992,11565
BA,1992,40080
BA,1992,17579
BA,1992,25088
BA,1992,14670
BA,1992,9694
BA,1992,94676
BA,1992,10638
BA,1992,10728
BA,1992,21936
BA,1992,14399
BA,1992,14966
BA,1992,13374
BA,1992,17185
BA,1992,50026
BA,1992,10364
BA,1992,13963
BA,1992,11341
BA,1992,19451
BA,1992,10284
BA,1992,13341
BA,1992,11417
BA,1992,14365
BA,1992,57795
BA,1992,20931
BA,1992,12621
BA,1992,9653
BA,1992,14837
BA,1992,28283
BA,1992,17655
BA,1992,17486
BA,1992,10915
BA,1992,40737
BA,1992,14792
BA,1992,15529
BA,1992,16196
BA,1992,36819
BA,1992,32991
BA,1992,26423
BA,1992,63098
BA,1992,9485
BA,1992,21725
BA,1992,33389
BA,1992,10643
BA,1992,12702
BA,1992,23800
BA,1992,31223
BA,1992,14106
BA,1992,17495
BA,1992,19914
BA,1992,16368
BA,1992,19369
BA,1992,6535
BA,1992,26197
BA,1992,47358
BA,1992,26654
BA,1992,3253
BA,1992,43646
BA,1992,9561
BA,1992,14750
BA,1992,9541
BA,1992,27408
BA,1992,12579
BA,1992,31504
BA,1992,16018
BA,1992,16171
BA,1992,18588
BA,1992,52996
BA,1992,23202
BA,1992,16227
BA,1992,18004
BA,1992,4737
BA,1992,22074
BA,1992,10900
